question,answer
Why did Chief Justice Martha Koome invite the Law Society of Kenya for a meeting?,To discuss the petition filed by the bar association against the rollout of Judiciary Desks at Huduma Centers.
What services would be provided at the Judiciary Desks in Huduma Centers?,"Filing civil cases, documents, requests for summons, case inquiries, e-filing support, and more."
Why did the Law Society of Kenya oppose the activation of Judiciary Desks?,"Lack of stakeholder consultation, potential for abuse, and concerns about unethical practices."
What action did the LSK advise its members to take regarding the Judiciary Desks?,Boycott provision of court services and attendance to matters in court on March 11.
What is the purpose of Norway Savings Bank's donation to SAD 17?,"Norway Savings Bank donated $10,000 to fund student field trips, enriching educational experiences across New England."
How much has Norway Savings Bank contributed to SAD 17 in total?,"Over 15 months, Norway Savings Bank has contributed over $40,000 to enrich student experiences in SAD 17."
Which mascot inspired the Viking FUNds program?,"Viking FUNds, named after Oxford Hills' mascot, supports student field trips in the region."
Which schools have benefited from Viking FUNds?,"Schools in Norway, Oxford, West Paris, South Paris, Otisfield, Harrison, Hebron, and Waterford have benefited."
"How has Viking FUNds impacted students, according to Otisfield Community School's principal?","The donation broadened students' horizons and provided experiences they wouldn't have otherwise had, said Otisfield's principal."
 What promise did Chief Justice Martha Koome make to facilitate dialogue with the LSK?,Structured quarterly meetings between the Judiciary Leadership Team and the LSK.
